bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,8,20,1,20,1791983700,89599185.000,0.000,0.000
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,8,20,4,80,8341833200,104272915.000,0.001,0.000
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,8,20,16,320,33361793600,104255605.000,0.002,0.000
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,8,20,64,1280,133381642100,104204407.891,0.010,0.000
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,64,20,1,20,1496891800,74844590.000,0.001,0.001
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,64,20,4,80,8221653500,102770668.750,0.005,0.001
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,64,20,16,320,33352127800,104225399.375,0.020,0.001
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,64,20,64,1280,132658482699,103639439.609,0.078,0.001
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,512,20,1,20,2019307200,100965360.000,0.010,0.005
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,512,20,4,80,8349943500,104374293.750,0.039,0.005
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,512,20,16,320,33282113900,104006605.938,0.156,0.005
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,512,20,64,1280,133303679600,104143499.688,0.625,0.005
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,4096,50,1,50,5154944800,103098896.000,0.195,0.038
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,4096,50,4,200,20231606400,101158032.000,0.781,0.039
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,4096,50,16,800,83461597700,104326997.125,3.125,0.037
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,4096,50,64,3200,327044219400,102201318.562,12.500,0.038
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,65536,5,1,5,128620100,25724020.000,0.312,2.430
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,65536,5,4,20,347361300,17368065.000,1.250,3.599
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,65536,5,16,80,1980674300,24758428.750,5.000,2.524
bench,name,host,port,len,iters,batch,ops,ns_total,ns_per_op,MiB,MiB_per_s
rpcbench,write,127.0.0.1,12345,65536,5,64,320,5612690800,17539658.750,20.000,3.563
